code_commune,nom_standard,population,latitude_centre,longitude_centre
78113,Brueil-en-Vexin,683,49.026,1.813
78117,Buc,5920,48.772,2.124
78118,Buchelay,3340,48.984,1.674
78120,Bullion,1914,48.625,1.983
78123,Carrières-sous-Poissy,18316,48.946,2.029
78124,Carrières-sur-Seine,15038,48.912,2.178
78125,La Celle-les-Bordes,825,48.642,1.945
78126,La Celle-Saint-Cloud,20476,48.847,2.135
78128,Cernay-la-Ville,1536,48.67,1.96
78133,Chambourcy,5736,48.896,2.033
78138,Chanteloup-les-Vignes,10735,48.976,2.032
78140,Chapet,1344,48.968,1.94
78143,Châteaufort,1515,48.739,2.095
78146,Chatou,29649,48.897,2.154
78147,Chaufour-lès-Bonnières,466,49.016,1.485
78152,Chavenay,1746,48.848,1.983
78158,Le Chesnay-Rocquencourt,30924,48.827,2.13
78160,Chevreuse,5536,48.707,2.037
78162,Choisel,534,48.674,2.014
78163,Civry-la-Forêt,357,48.864,1.617
78164,Clairefontaine-en-Yvelines,840,48.617,1.906
78165,Les Clayes-sous-Bois,17237,48.819,1.984
78168,Coignières,4377,48.75,1.914
78171,Condé-sur-Vesgre,1250,48.732,1.674
78172,Conflans-Sainte-Honorine,35926,49.0,2.099
78185,Courgent,382,48.896,1.659
78188,Cravent,417,48.99,1.485
78189,Crespières,1702,48.882,1.921
78190,Croissy-sur-Seine,10399,48.879,2.135
78192,Dammartin-en-Serve,1394,48.911,1.618
78193,Dampierre-en-Yvelines,1000,48.704,1.973
78194,Dannemarie,223,48.764,1.609
78196,Davron,282,48.864,1.948
78202,Drocourt,557,49.052,1.768
78206,Ecquevilly,4105,48.946,1.92
78208,Élancourt,26082,48.778,1.96
78209,Émancé,891,48.591,1.734
78217,Épône,6585,48.947,1.813
78220,Les Essarts-le-Roi,6775,48.716,1.895
78224,L'Étang-la-Ville,4673,48.867,2.06
78227,Évecquemont,771,49.017,1.942
78230,La Falaise,623,48.937,1.825
78231,Favrieux,159,48.945,1.642
78233,Feucherolles,3020,48.88,1.98
78234,Flacourt,186,48.932,1.643
78236,Flexanville,576,48.855,1.743
78237,Flins-Neuve-Église,158,48.893,1.577
78238,Flins-sur-Seine,2424,48.967,1.873
78239,Follainville-Dennemont,2173,49.023,1.709
78242,Fontenay-le-Fleury,13455,48.818,2.047
78245,Fontenay-Mauvoisin,425,48.961,1.648
78246,Fontenay-Saint-Père,948,49.028,1.754
78255,Freneuse,4285,49.05,1.61
78261,Gaillon-sur-Montcient,677,49.03,1.898
78262,Galluis,1263,48.798,1.791
78263,Gambais,2451,48.78,1.676
78264,Gambaiseuil,62,48.756,1.725
78265,Garancières,2512,48.824,1.758
78267,Gargenville,7863,48.993,1.811
78269,Gazeran,1288,48.633,1.778
78276,Gommecourt,639,49.071,1.594
78278,Goupillières,549,48.881,1.767
78281,Goussonville,636,48.924,1.767
78283,Grandchamp,291,48.72,1.614
78285,Gressey,541,48.833,1.603
